row	uid	domain	scenario	difficulty	rounds	terminal	tools	success_criteria_n	has_missing_function	hidden_tools	verdict	issues	query
153	calendar_20051_38935	calendar	no_tool_or_abstention	complete	1	report_error		1	True	"[""add_attendee""]"	OK		create a new meeting called 'Project Kickoff', add john.doe@example.com to it, and then delete evt_263_015
154	team_chat_20182_17025	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Create the new campaign channel, move the old one to archive, post the draft strategy there, and make sure to add a thumbs-up to msg_7f6_0006 before EOD.
155	filesystem_20127_11181	filesystem	missing_dependency	complete	3	final_answer	cd->chmod	1	False	[]	FAIL	bad_missing_dependency_terminal	I need to move /home/user/pipeline.sh to /home/user/logs and make it readable by everyone
156	food_delivery_20200_73669	food_delivery	tool_error_recovery	complete	3	final_answer	add_tip->get_restaurant->get_menu	2	False	[]	OK		cancel ord_668_0002 and add a 20% tip to ord_668_0001
157	calendar_20058_80150	calendar	tool_error_recovery	minimal	3	final_answer	delete_event->create_event->list_events->delete_event	3	False	[]	OK		Cancel the Budget Check meeting and reschedule it for next week with a reminder set
158	email_20097_4749	email	normal_safe_success	complete	3	final_answer	get_email->list_inbox->get_email->reply_email	2	False	[]	OK		I need to reply to eml_031_0007 about the invoice being wrong again — this is the third time they sent the wrong one.
159	payments_20134_54671	payments	normal_safe_success	minimal	2	final_answer	list_invoices->pay_invoice	5	False	[]	OK		pay the pending invoices for next Tuesday’s team
160	filesystem_20115_52593	filesystem	clarification_required	missing	1	ask_clarification		0	False	[]	OK		copy all the .sh files from /home/user to the scripts folder
161	shopping_20068_86784	shopping	no_tool_or_abstention	minimal	1	report_error		1	True	"[""add_to_cart""]"	OK		Can you help me find a good keyboard under $100 and add it to my cart?
162	food_delivery_20195_53215	food_delivery	tool_error_recovery	complete	2	final_answer	search_restaurants->get_menu	0	False	[]	WARN	final_answer_no_state_success_criteria	cancel ord_5f3_0002 before they start preparing the order
163	banking_20089_33209	banking	tool_error_recovery	complete	3	final_answer	bill_pay->get_account_info->list_accounts	1	False	[]	OK		pay the office rent bill from acc_2a9_003 by Monday
164	issue_tracker_20167_12282	issue_tracker	clarification_required	missing	1	ask_clarification		0	False	[]	OK		I need to log time on the login timeout issue and move it to in_progress, but I can't remember how long it took exactly.
165	filesystem_20122_72133	filesystem	no_tool_or_abstention	complete	1	report_error		1	True	"[""find""]"	OK		Change ownership of all files matching 'script.sh' under /home/user to dev_team
166	calendar_20062_92093	calendar	no_tool_or_abstention	minimal	1	report_error		1	True	"[""update_event""]"	OK		fix the team meeting details and remove John from it by EOD
167	payments_20138_57588	payments	normal_safe_success	complete	2	final_answer	get_invoice->list_invoices	0	False	[]	WARN	final_answer_no_state_success_criteria	refund $300 of inv_d8a_0003
168	calendar_irrelevant_30041_2	calendar	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		What’s the capital of Mongolia?
169	calendar_20048_98457	calendar	normal_safe_success	missing	2	final_answer	create_recurring->remove_attendee	1	False	[]	OK		set up a recurring Team Sync every Monday at 10am but remove John from it
170	email_20107_44713	email	no_tool_or_abstention	missing	1	report_error		1	True	"[""get_email""]"	OK		I need to reply to the budget approval email from my boss and add the updated figures attachment from that email.
171	team_chat_20183_66919	team_chat	normal_safe_success	minimal	2	final_answer	create_channel->create_thread	3	False	[]	OK		start a discussion about the new project and share the initial plan
172	shopping_20074_20181	shopping	normal_safe_success	minimal	2	final_answer	add_to_cart->get_cart->update_cart_quantity	2	False	[]	OK		add another laptop stand to my cart
173	email_20109_78041	email	normal_safe_success	complete	2	final_answer	get_email->move_to_thread	0	False	[]	WARN	final_answer_no_state_success_criteria	add eml_47d_0004 to the Meeting follow-up thread
174	shopping_20065_17988	shopping	normal_safe_success	complete	2	final_answer	remove_from_wishlist->get_product	0	False	[]	WARN	final_answer_no_state_success_criteria	remove prd_a11_004 from my wishlist
175	crm_20154_49293	crm	no_tool_or_abstention	complete	1	report_error		1	True	"[""list_deals""]"	OK		convert lead_89a_0006 to a deal and schedule a follow-up task with the contact for next Monday
176	crm_20153_42247	crm	missing_dependency	complete	3	final_answer	convert_lead->create_deal->create_lead->convert_lead->create_deal	17	False	[]	FAIL	bad_missing_dependency_terminal	convert lead_ee9_0006 to a deal and schedule a follow-up task for next Monday
177	crm_20157_62303	crm	clarification_required	missing	1	ask_clarification		0	False	[]	OK		I need to follow up with Evan Ellis about the Cloud Migration deal, but I forgot to note when the next step should happen.
178	banking_20092_69017	banking	no_tool_or_abstention	complete	1	report_error		1	True	"[""get_statement""]"	OK		I need the full details for acc_fbc_003 and its monthly statement by EOD — can you get that for me?
179	issue_tracker_21161_98461	issue_tracker	tool_error_recovery	complete	2	final_answer	update_issue->create_issue	3	False	[]	OK		mark iss_7d9_0006 and iss_7d9_0013 as resolved — I fixed them yesterday
180	filesystem_20126_82280	filesystem	no_tool_or_abstention	minimal	1	report_error		1	True	"[""file_info""]"	OK		find all the text files in my home folder
181	email_20104_65836	email	missing_dependency	complete	2	final_answer	forward_email->search_emails	3	False	[]	FAIL	bad_missing_dependency_terminal	forward eml_408_0003 to the finance team for review by tomorrow
182	issue_tracker_20172_1229	issue_tracker	normal_safe_success	complete	2	final_answer	get_issue->create_issue	3	False	[]	OK		i need full details on iss_70c_0006 and iss_70c_0013 so i can close them both
183	calendar_21059_12488	calendar	normal_safe_success	complete	3	final_answer	add_attendee->create_event->add_attendee	2	False	[]	OK		add John to the Team Sync event (evt_b53_001) on Friday at 10am
184	food_delivery_20192_16568	food_delivery	normal_safe_success	complete	2	final_answer	reorder->list_restaurants	2	False	[]	OK		Order from rest_8e0_005 again with the same items as last time
185	issue_tracker_20171_87100	issue_tracker	normal_safe_success	minimal	2	final_answer	create_issue->add_watcher	3	False	[]	OK		create a new task about the login timeout and let Sarah know about it
186	shopping_20069_39802	shopping	normal_safe_success	complete	2	final_answer	track_order->search_products->add_to_cart	2	False	[]	OK		track ord_0d5_0002
187	email_20098_45062	email	normal_safe_success	missing	2	final_answer	search_emails->search_emails	0	False	[]	WARN	final_answer_no_state_success_criteria	Can you help me forward the email from client@acme.com about the Q2 Review? I think it was one of the first ones I got today.
188	filesystem_20117_9327	filesystem	tool_error_recovery	complete	3	final_answer	cd->ls->mv	4	False	[]	OK		move /home/user/pipeline.sh to /home/user/projects and make it executable by everyone
189	crm_20151_85907	crm	missing_dependency	minimal	2	final_answer	convert_lead->create_deal	6	False	[]	FAIL	bad_missing_dependency_terminal	convert the Hannah Hill lead to a deal
190	email_20110_50627	email	normal_safe_success	complete	2	final_answer	add_label->search_emails	6	False	[]	OK		label eml_e2e_0003 as important
191	banking_irrelevant_30041_3	banking	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		Can you help me find a good yoga class near my home?
192	crm_20148_7374	crm	missing_dependency	complete	2	final_answer	convert_lead->create_deal->create_lead->update_lead	9	False	[]	FAIL	bad_missing_dependency_terminal	convert lead_e74_0006 to a deal and link it to contact_e74_0003
193	shopping_20066_65733	shopping	normal_safe_success	complete	2	final_answer	get_order->return_order->add_to_cart	3	False	[]	OK		return prd_3c2_003 from ord_3c2_0001
194	crm_20149_67765	crm	tool_error_recovery	complete	2	final_answer	update_deal->get_deal->update_deal	1	False	[]	OK		advance deal_825_0003 to closed_won by Friday, September 18
195	banking_21084_98857	banking	tool_error_recovery	complete	3	final_answer	get_account_info->list_accounts	0	False	[]	WARN	final_answer_no_state_success_criteria	pay the rent bill from acc_d9c_007
196	filesystem_20125_98190	filesystem	no_tool_or_abstention	minimal	1	report_error		1	True	"[""sha256sum""]"	OK		verify the pipeline script was updated
197	issue_tracker_20166_55466	issue_tracker	clarification_required	missing	1	ask_clarification		0	False	[]	OK		assign iss_ce6_0006 to someone
